gene,disease_name,inheritance,phenotype_mim,phenotype_class,pigmentation_phenotype,source,citation,citation_source
KIT,Piebaldism,AD,172800,Hypopigmentation,"Congenital absence of melanocytes in affected areas of the skin and hair. A white forelock of hair, often triangular in shape, may be the only manifestation, or both the hair and the underlying forehead may be involved. The eyebrows and eyelashes may be affected. Irregularly shaped white patches may be observed on the face, trunk, and extremities, usually in a symmetrical distribution. Typically, islands of hyperpigmentation are present within and at the border of depigmented areas","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
KITLG,Familial progressive hyperpigmentation with or without hypopigmentation,AD,145250,Mixed,"Diffuse hyperpigmentation of variable intensity sometimes associated with cafe-au-lait macules and larger hypopigmented ash-leaf macules. These features, which involve the face, neck, trunk, and limbs, are seen at birth or develop early in infancy. Scattered small hypopigmented macules, a few large hypopigmented areas, and occasional cafe-au-lait spots, as well as a generalized lentiginosis might be present as well.","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
KITLG,"Waardenburg syndrome, type 2F",AR,619947,Mixed,"Altered pigmentation of the iris, hair, and skin. Brilliant blue irises. Hypopigmented areas of skin with dappled pigmentation within the pale areas. White hair in the areas of leukoderma, white forelock, premature graying of the hair. Cafe-au-lait spots and hyperpigmentation.",OMIM,PMC9854651,pmcid
KITLG,"[Skin/hair/eye pigmentation 7, blond/brown hair]",Multifactorial,611664,Pigmentation phenotype,Association with variation of skin/hair/eye pigmentation,OMIM,PMC9854651,pmcid
KRT14,Dermatopathia pigmentosa reticularis,AD,125595,Hyperpigmentation,Reticulate pattern of skin hyperpigmentation,OMIM,PMC9854651,pmcid
KRT14,Naegeli-Franceschetti-Jadassohn syndrome,AD,161000,Hyperpigmentation,Reticulate pattern of skin hyperpigmentation,"OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
KRT5,Dowling-Degos disease 1,AD,179850,Mixed,"Reticular pigmentation, usually in a flexural distribution. Hypopigmented or erythematous macules and papules on the neck, chest, and abdomen.","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
KRT5,"Epidermolysis bullosa simplex, 2F, with mottled pigmentation",AD,131960,Mixed,"Mottled or reticulate pigmentation developing gradually. 2- to 5-mm hyper- and hypopigmented spots giving the skin, especially of the limbs, a mottled 'dirty' appearance.",OMIM,PMC9854651,pmcid
LPP,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.","Yamaguchi gene list, OpenTargets gene list",PMC9854651,pmcid
LRMDA,"Oculocutaneous albinism, type 7",AR,615179,Hypopigmentation,"Light complexion with a tendency to lighter pigmentation than that of the relatives; eye symptoms predominate, with nystagmus and iris transillumination. Extremely sparse pigmentation of the peripheral ocular fundus.","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
LYST,Chediak–Higashi syndrome,AR,214500,Hypopigmentation,"Decreased pigmentation of the skin, hair and eyes (partial albinism). Fair skin and light-colored hair, often with a metallic sheen.","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
MAP2K1,Cardiofaciocutaneous syndrome 3,AD,615279,Hyperpigmentation,Progressive nevi formation with age,"OpenTargets gene list, OMIM",PMC9854651,pmcid
MC1R,"Oculocutaneous albinism, type 2",AR,203200,Hypopigmentation,"Decreased or absent pigmentation in the hair, skin, and eyes","OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
MC2R,"Glucocorticoid deficiency, due to ACTH unresponsiveness",AR,202200,Hyperpigmentation,Cutaneous hyperpigmentation,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
MCM4,Immunodeficiency-54,AR,609981,Hyperpigmentation,Cutaneous hyperpigmentation,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
MEN1,Multiple endocrine neoplasia 1,AD,131100,Mixed,"Cafe-au-lait macules, confetti-like hypopigmented macules","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
MITF,Tietz albinism-deafness syndrome,AD,103500,Hypopigmentation,"Generalized pigment loss, blue eyes with albinoid fundi. The albinism is hypopigmentation and not true albinism (e.g., the affected individuals tan).","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
MITF,Waardenburg syndrome type 2A,AD,193510,Hypopigmentation,"Pigmentary abnormalities of the hair, skin, and eyes. White forelock and premature graying; pigmentary changes of the iris, such as heterochromia or hypoisochromia iridis, and brilliant blue eyes, hypopigmented ocular fundus. Hypopigmented skin lesions.","Yamaguchi gene list, OpenTargets gene list, OMIM",PMC9854651,pmcid
MLH1,Mismatch repair cancer syndrome 1,AR,276300,Mixed,"Skin hyperpigmentation, cafe au lait spots, axillary freckling, and hypopigmentation","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
MLPH,Griscelli syndrome type 3,AR,609227,Hypopigmentation,"Pigmentary dilution of the skin and hair, the presence of large clumps of pigment in hair shafts, and an accumulation of melanosomes in melanocytes. In addition to the characteristic silvery-gray appearance of hair and pigmentary defects of skin.","Yamaguchi gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
MRAP,Glucocorticoid deficiency 2,AR,607398,Hyperpigmentation,Cutaneous hyperpigmentation,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
MSH2,Mismatch repair cancer syndrome 2,AR,619096,Hyperpigmentation,Café-au-lait spots,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
MSH6,Mismatch repair cancer syndrome 3,AR,619097,Hyperpigmentation,"Café-au-lait spots, axillary freckling","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
MTAP,Nevus-cell nevus,Acquired/Congenital,,Hyperpigmentation,Melanocytic nevus,OpenTargets gene list,PMC9854651,pmcid
MYH8,Carney complex variant,Congenital,608837,Hyperpigmentation,Spotty pigmented lesions of the skin and mucosae,"OpenTargets gene list, OMIM",PMC9854651,pmcid
MYO5A,Griscelli syndrome type 1,AR,214450,Hypopigmentation,"Pigmentary dilution of the skin and hair, the presence of large clumps of pigment in hair shafts, and an accumulation of melanosomes in melanocytes. In addition to the characteristic silvery-gray appearance of hair and pigmentary defects of skin.","Yamaguchi gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
NARS1,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
NBN,Nijmegen breakage syndrome,AR,251260,Mixed,Hyperpigmented or hypopigmented macules,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
NEK6,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
NF1,Neurofibromatosis type 1,AD,162200,Hyperpigmentation,"Hyperpigmented cafe-au-lait spots usually develop in the first years of life, but may be present at birth. The presence of 6 or more cafe-au-lait macules with diameter 0.5 cm before puberty or 1.5 cm after puberty is a diagnostic feature. Axillary and inguinal freckling ('Crowe sign') between 3 and 5 years of age. Freckling above the eyelids, around the neck, and under the breasts.","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
NF1,Watson syndrome,AD,193520,Hyperpigmentation,Cafe-au-lait spots,"OpenTargets gene list, OMIM",PMC9854651,pmcid
NFIX,Malan syndrome (formerly Sotos syndrome 2),AD,614753,Hyperpigmentation,Changes in skin pigmentation,"OpenTargets gene list, OMIM",PMC9854651,pmcid
NFIX,Marshall-Smith syndrome,"AD; ""de novo""",602535,Hyperpigmentation,Changes in skin pigmentation,OMIM,PMC9854651,pmcid
NHP2,"Dyskeratosis congenita, autosomal recessive 2",AR,613987,Hyperpigmentation,"Reticulate hyperpigmentation; affected areas may appear as grayish macules on atrophic or light colored patch of skin. The face, neck and shoulders are most often affected.",OMIM,PMC9854651,pmcid
NID1,Nevus-cell nevus,Acquired/Congenital,,Hyperpigmentation,Melanocytic nevus,OpenTargets gene list,PMC9854651,pmcid
NLRP1,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",Yamaguchi gene list,PMC9854651,pmcid
NNT,"Glucocorticoid deficiency 4, with or without mineralocorticoid deficiency",AR,614736,Hyperpigmentation,Cutaneous hyperpigmentation,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
NOP10,"Dyskeratosis congenita, autosomal recessive 1	",AR,224230,Hyperpigmentation,"Reticulate hyperpigmentation; affected areas may appear as grayish macules on atrophic or light colored patch of skin. The face, neck and shoulders are most often affected.",OMIM,PMC9854651,pmcid
NR0B1,"Adrenal hypoplasia, congenita",XLR,300200,Hyperpigmentation,Coal-black hyperpigmentation,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
NRAS,"Melanocytic nevus syndrome, congenital, somatic; Neurocutaneous melanosis, somatic",Acquired,137550,Hyperpigmentation,Pigmentary skin defects apparent at birth,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
NRROS,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
NSD1,Sotos syndrome,AD,117550,Hyperpigmentation,Pigmentary spotting of the genitalia,"Yamaguchi gene list, OMIM",PMC9854651,pmcid
OCA2,"Oculocutaneous albinism, type 2",AR,203200,Hypopigmentation,"Decreased or absent pigmentation in the hair, skin, and eyes","Yamaguchi gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
OCA2,Piebaldism,Congenital,172800,Hypopigmentation,"Congenital absence of melanocytes in affected areas of the skin and hair. A white forelock of hair, often triangular in shape, may be the only manifestation, or both the hair and the underlying forehead may be involved. The eyebrows and eyelashes may be affected. Irregularly shaped white patches may be observed on the face, trunk, and extremities, usually in a symmetrical distribution. Typically, islands of hyperpigmentation are present within and at the border of depigmented areas","OpenTargets gene list, OMIM",PMC9854651,pmcid
PAH,Phenylketonuria,AR,261600,Hypopigmentation,Diluted pigmentation of skin and hair,"Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
PALB2,"Fanconi anemia, complementation group N",AR,610832,Mixed,"Generalized hyperpigmentation on the trunk, neck, and intertriginous areas, presence of café-au-lait spots, and hypopigmented areas","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
PARN,"Dyskeratosis congenita, autosomal recessive 6",AR,616353,Hyperpigmentation,"Reticulate hyperpigmentation; affected areas may appear as grayish macules on atrophic or light colored patch of skin. The face, neck and shoulders are most often affected.","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
PARP12,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
PAX3,Waardenburg syndrome type 1,AD,193500,Hypopigmentation,"Pigmentary abnormalities of the hair, skin, and eyes. White forelock and premature graying; pigmentary changes of the iris, such as heterochromia or hypoisochromia iridis, and brilliant blue eyes, hypopigmented ocular fundus. Hypopigmented skin lesions.","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
PAX3,Waardenburg syndrome type 3,"AD, AR",148820,Hypopigmentation,"Pigmentary abnormalities of the hair, skin, and eyes. White forelock and premature graying; pigmentary changes of the iris, such as heterochromia or hypoisochromia iridis, and brilliant blue eyes, hypopigmented ocular fundus. Hypopigmented skin lesions.","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
PCNT,"Microcephalic osteodysplastic primordial dwarfism, type II",AR,210720,Mixed,"Areas of hypo- and hyperpigmentation (with café-au-lait spots), poikiloderma, acanthosis nigricans","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
PLA2G6,Nevus-cell nevus,Acquired/Congenital,,Hyperpigmentation,Melanocytic nevus,OpenTargets gene list,PMC9854651,pmcid
PLCB3,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
PMS2,Mismatch repair cancer syndrome 4,AR,619101,Hyperpigmentation,"Café-au-lait spots, axillary freckling","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
POFUT1,Dowling-Degos disease 2,AD,615327,Mixed,"Hyperpigmentation on the skin of the neck, wrist, chest, inguinal area, and inner thighs; some of them also had hypopigmented macules and hyperkeratotic dark brown papules on the neck, chest, and back","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
POGLUT1,Dowling-Degos disease 4,AD,615696,Hyperpigmentation,Hyperpigmentation; macular and lentiginous lesions; hyperpigmentation at rete ridges,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
POLA1,"Pigmentary disorder, reticulate, with systemic manifestations, X-linked",XLR,301220,Hyperpigmentation,Reticulate skin hyperpigmentation,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
POLH,"Xeroderma pigmentosum, variant type",AR,278750,Mixed,Pigmented or depigmented macules and patches,"Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
POMC,"Obesity, adrenal insufficiency, and red hair due to POMC deficiency",AR,609734,Hypopigmentation,"Pigmentary abnormalities, mainly pale skin and red hair","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
PPARGC1B,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
PPP3CA,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
PRKAR1A,"Carney complex, type 1",AD,160980,Hyperpigmentation,Pigmented lesions of the skin and mucosae,"Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
PSENEN,"Acne inversa, familial, 2, with or without Dowling-Degos disease",AD,613736,Hyperpigmentation,"Reticulate hyperpigmentation in flexural areas; mild macular hyperpigmentation of the neck, in the axillae and groin areas","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
PTEN,Cowden syndrome 1 (Bannayan-Riley-Ruvalcaba syndrome),AD,158350,Hyperpigmentation,"Pigmentation of the genitalia, pigmented speckled macules of the glans penis in males","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
PTPN1,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
PTPN11,LEOPARD syndrome 1,AD,151100,Hyperpigmentation,"Multiple lentigines; black or dark brown spots on the skin, including the neck and head. ","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
PTPN22,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.","Yamaguchi gene list, OpenTargets gene list",PMC9854651,pmcid
PTPRC,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
RAB27A,Griscelli syndrome type 2,AR,607624,Hypopigmentation,"Pigmentary dilution of the skin and hair, the presence of large clumps of pigment in hair shafts, and an accumulation of melanosomes in melanocytes. In addition to the characteristic silvery-gray appearance of hair and pigmentary defects of skin.","OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
RAB5C,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
RAF1,LEOPARD syndrome 2,AD,611554,Hyperpigmentation,"Multiple lentigines; black or dark brown spots on the skin, including the neck and head. ","OpenTargets gene list, OMIM",PMC9854651,pmcid
RAF1,Noonan syndrome 5,AD,611553,Hyperpigmentation,"Pigmented nevi,  café-au-lait spots, and lentigines may be present.","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
RALY,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
RECQL4,"Rothmund-Thomson syndrome, type 2",AR,268400,Mixed,"Poikiloderma, characterized by telangiectases; small spots of atrophy; and areas of abnormal skin pigmentation alternating between hyperpigmentation and hypopigmentation, giving a lacy, web-like, or mottled appearance. Increased risk of non-melanoma skin cancer.","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
RERE,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.","Yamaguchi gene list, OpenTargets gene list",PMC9854651,pmcid
RFXANK,"Xeroderma pigmentosum, variant type",Congenital,278750,Mixed,Pigmented or depigmented macules and patches,"OpenTargets gene list, OMIM",PMC9854651,pmcid
RIT1,Noonan Syndrome 8,AD,615355,Hyperpigmentation,Skin hyperpigmentation,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
RNASET2,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
RPGRIP1L,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
RTEL1,"Dyskeratosis congenita, autosomal dominant 4, autosomal recessive 5","AD, AR",615190,Hyperpigmentation,"Reticulate hyperpigmentation; affected areas may appear as grayish macules on atrophic or light colored patch of skin. The face, neck and shoulders are most often affected.",OMIM,PMC9854651,pmcid
SAMD9,Mirage syndrome,AD,617053,Hyperpigmentation,"Skin hyperpigmentation, reflective of adrenal insufficiency","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
SERPINB9,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
SGPL1,"Nephrotic syndrome, type 14",AR,617575,Hyperpigmentation,Skin hyperpigmentation,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
SH2B3,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
SHOC2,Noonan-like syndrome with loose anagen hair 1,AD,607721,Hyperpigmentation,Skin hyperpigmentation,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
SLC17A5,"Sialic acid storage disorder, infantile",AR,269920,Hypopigmentation,Hypopigmendted skin and hair,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
SLC1A2,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
SLC24A5,"Oculocutaneous albinism, type 6",AR,113750,Hypopigmentation,"Decreased pigmentation in the hair, skin, and eyes","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
SLC24A5,"[Skin/hair/eye pigmentation 4, fair/dark skin]",AR,113750,Pigmentation phenotype,"Association with skin, hair, and eye pigmentation",OMIM,PMC9854651,pmcid
SLC29A3,Histiocytosis-lymphadenopathy plus syndrome,AR,602782,Hyperpigmentation,"Skin hyperpigmentation, pigmented hypertrichosis","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
SLC44A4,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
SLC45A2,"Oculocutaneous albinism, type 4",AR,606574,Hypopigmentation,"Lack of pigmentation of the skin, hair, and eyes","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
SMARCAL1,Schimke immunoosseous dysplasia ,AR,242900,Hyperpigmentation,Pigmentary skin changes including hyperpigmented macules and lentigines,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
SMO,Curry-Jones syndrome,Acquired,601707,Hypopigmentation,Linear areas of skin depigmentation in the lumbar region,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
SMOC2,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
SNAI2,Piebaldism,AD,172800,Hypopigmentation,"Congenital absence of melanocytes in affected areas of the skin and hair. A white forelock of hair, often triangular in shape, may be the only manifestation, or both the hair and the underlying forehead may be involved. The eyebrows and eyelashes may be affected. Irregularly shaped white patches may be observed on the face, trunk, and extremities, usually in a symmetrical distribution. Typically, islands of hyperpigmentation are present within and at the border of depigmented areas","OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
SNAI2,Waardenburg syndrome type 2D,AR,608890,Hypopigmentation,"Pigmentary abnormalities of the hair, skin, and eyes. White forelock and premature graying; pigmentary changes of the iris, such as heterochromia or hypoisochromia iridis, and brilliant blue eyes, hypopigmented ocular fundus. Hypopigmented skin lesions.","Yamaguchi gene list, OpenTargets gene list, OMIM",PMC9854651,pmcid
SOX10,Waardenburg syndrome 4C; PCWH syndrome,AD,613266; 609136,Hypopigmentation,"Pigmentary abnormalities of the hair, skin, and eyes. White forelock and premature graying; pigmentary changes of the iris, such as heterochromia or hypoisochromia iridis, and brilliant blue eyes, hypopigmented ocular fundus. Hypopigmented skin lesions.","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
SOX10,Waardenburg syndrome type 2E,AD,611584,Hypopigmentation,"Pigmentary abnormalities of the hair, skin, and eyes. White forelock and premature graying; pigmentary changes of the iris, such as heterochromia or hypoisochromia iridis, and brilliant blue eyes, hypopigmented ocular fundus. Hypopigmented skin lesions.","OpenTargets gene list, OMIM",PMC9854651,pmcid
SPATA48,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
SPRED1,Legius syndrome,AD,611431,Hyperpigmentation,Multiple cafe-au-lait macules with or without axillary or inguinal freckling,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ST3GAL5,Salt and pepper developmental regression syndrome,AR,609056,Mixed,"Hypo- or hyperpigmented skin macules in early childhood; 'salt and pepper' macules ranging from 1 to 5 mm in diameter on the trunk, extremities, and face","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
STAR,Lipoid adrenal hyperplasia,AR,201710,Hyperpigmentation,"Congenital hyperpigmentation, from intrauterine glucocorticoid deficiency","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
STAT4,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
STK11,Peutz – Jeghers syndrome,AD,175200,Hyperpigmentation,"Hyperpigmented macules on hands (especially palms), arms, feet (especially plantar areas), legs, and oral pigmentation","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
TBX5,Blue nevus,Acquired or congenital,,Hyperpigmentation,"Dermal proliferation of melanocytes presenting as blue to black nodules on the head, extremities, or buttocks.",OpenTargets gene list,PMC9854651,pmcid
TEF,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
TERC,"Dyskeratosis congenita, autosomal dominant 1",AD,127550,Hyperpigmentation,"Reticulate hyperpigmentation; affected areas may appear as grayish macules on atrophic or light colored patch of skin. The face, neck and shoulders are most often affected.",OMIM,PMC9854651,pmcid
TERT,"Dyskeratosis congenita, autosomal dominant 2, autosomal recessive 4","AD, AR",613989,Hyperpigmentation,"Reticulate hyperpigmentation; affected areas may appear as grayish macules on atrophic or light colored patch of skin. The face, neck and shoulders are most often affected.","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
TG,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
TICAM1,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
TINF2,"Dyskeratosis congenita, autosomal dominant 3",AD,613990,Hyperpigmentation,"Reticulate hyperpigmentation; affected areas may appear as grayish macules on atrophic or light colored patch of skin. The face, neck and shoulders are most often affected.","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
TNFRSF11A,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
TNFSF11,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
TP63,ADULT syndrome,AD,103285,Mixed,"Fair skin with extensive freckling over sun-exposed areas, blond hair","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
TPCN2,"[Skin/hair/eye pigmentation 10, blond/brown hair]",Multifactorial,612267,Pigmentation phenotype,Association with variation of skin/hair/eye pigmentation,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
TSC1,Tuberous sclerosis 1,AD,191100,Hypopigmentation,"Hypomelanotic macules, facial angiofibromas, patches of connective tissue nevi (shagreen patches) and ash leaf spots.","OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
TSC2,Tuberous sclerosis 2,"AD, ""de novo""",613254,Hypopigmentation,Hypopigmented patches,"Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
TYR,"{Melanoma, cutaneous malignant, susceptibility to, 8}",AD,601800,Hyperpigmentation,Increased risk of cutaneous melanoma,OMIM,PMC9854651,pmcid
TYR,"Oculocutaneous albinism, type 1A",AR,203100,Hypopigmentation,"Decreased or absent pigmentation in the hair, skin, and eyes","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
TYR,"Oculocutaneous albinism, type 1B",AR,606952,Hypopigmentation,"Decreased or absent pigmentation in the hair, skin, and eyes",OMIM,PMC9854651,pmcid
TYR,Piebaldism,Congenital,172800,Hypopigmentation,"Congenital absence of melanocytes in affected areas of the skin and hair. A white forelock of hair, often triangular in shape, may be the only manifestation, or both the hair and the underlying forehead may be involved. The eyebrows and eyelashes may be affected. Irregularly shaped white patches may be observed on the face, trunk, and extremities, usually in a symmetrical distribution. Typically, islands of hyperpigmentation are present within and at the border of depigmented areas","OpenTargets gene list, OMIM",PMC9854651,pmcid
TYR,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
TYR,"[Skin/hair/eye pigmentation 3, blue/green eyes]",AD,601800,Pigmentation phenotype,Association with variation of skin/hair/eye pigmentation,OMIM,PMC9854651,pmcid
TYR,"[Skin/hair/eye pigmentation 3, light/dark/freckling skin]",AD,601800,Pigmentation phenotype,Association with freckling,OMIM,PMC9854651,pmcid
TYRP1,"Oculocutaneous albinism, type 3",AR,203290,Hypopigmentation,"Decreased or absent pigmentation in the hair, skin, and eyes","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
TYRP1,Piebaldism,Congenital,172800,Hypopigmentation,"Congenital absence of melanocytes in affected areas of the skin and hair. A white forelock of hair, often triangular in shape, may be the only manifestation, or both the hair and the underlying forehead may be involved. The eyebrows and eyelashes may be affected. Irregularly shaped white patches may be observed on the face, trunk, and extremities, usually in a symmetrical distribution. Typically, islands of hyperpigmentation are present within and at the border of depigmented areas","OpenTargets gene list, OMIM",PMC9854651,pmcid
