gene_a,gene_b,source,target,merged_sign,sign_conflict,direction_conflict,supporting_layers,n_supporting_layers,layer_evidence_type,tier,citation
GAR1,WRAP53,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GNAS,HRAS,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GNAS,KRAS,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GNAS,MC1R,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GNAS,MC2R,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GNAS,PRKACA,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GNAS,PRKAR1A,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GPNMB,TYRP1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GPR143,MITF,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GPR143,OCA2,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GPR143,SLC45A2,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GPR143,TYR,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GPR143,TYRP1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GRB2,HRAS,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GRB2,HSP90AA1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GRB2,KIT,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GRB2,KRAS,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GRB2,MAP2K1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GRB2,MAPK1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GRB2,NRAS,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GRB2,PIK3CA,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GRB2,PTPN1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GRB2,PTPN11,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GRB2,RAF1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GRB2,SH2B3,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GRB2,SOS1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GRB2,TNFRSF1A,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GZMB,MCL1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GZMB,PTPRC,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
GZMB,SERPINB9,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HERC2,OCA2,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HERC2,TP53,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HGD,PAH,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-B,HLA-DQA1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-B,HLA-DQB1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-B,HLA-DRA,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-B,HLA-DRB1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-DQA1,HLA-DQB1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-DQA1,HLA-DRA,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-DQA1,HLA-DRB1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-DQA1,PTPN22,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-DQB1,HLA-DRA,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-DQB1,HLA-DRB1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-DQB1,PTPN22,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-DRA,HLA-DRB1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-DRA,PTPN22,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-DRA,PTPRC,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-DRB1,PTPN11,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-DRB1,PTPN22,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HLA-DRB1,PTPRC,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HPS1,HPS3,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HPS1,HPS4,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HPS1,HPS5,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HPS1,HPS6,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HPS3,HPS4,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HPS3,HPS5,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HPS3,HPS6,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HPS4,HPS5,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HPS4,HPS6,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HPS5,HPS6,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,HSP90AA1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,JUN,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,KRAS,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,MAP2K1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,MAPK1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,NF1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,NFKB1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,NRAS,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,PIK3CA,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,PTEN,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,PTPN11,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,SHOC2,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,SOS1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,SPRED1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HRAS,TP53,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,IKBKG,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,IRF3,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,JUN,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,KIT,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,KRAS,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,MAPK1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,MCL1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,NRAS,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,PCNT,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,PIK3CA,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,PRKACA,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,PTEN,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,RAF1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,RIPK1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,STK11,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,TERT,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
HSP90AA1,TP53,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IDS,IDUA,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IKBKG,IRAK1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IKBKG,IRF3,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IKBKG,NFKB1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IKBKG,RIPK1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IKBKG,TICAM1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IKBKG,TNFRSF1A,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IKBKG,TRAF6,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IL17A,IL23R,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IL17A,IL2RA,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IL17A,PTPRC,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IL17A,TNFSF11,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IL23R,STAT4,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IL2RA,PTPN22,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IRAK1,IRF3,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IRAK1,NFKB1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IRAK1,TICAM1,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IRAK1,TRAF6,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
IRF3,JUN,,,,False,False,DArcy_STRING|STRING_ours,2,STRING_ours:association_unsigned_undirected;DArcy_STRING:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651
